date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,SMA_20,RSI,SMA_10,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,BB_upper,BB_lower,BB_percent,Volatility,ATR,OBV,Daily_Return,Cumulative_Return
2024-07-05,12.87,12.96,12.75,12.84,12.08,31589300,31589300,-0.03,-0.2331,12.855,"July 05, 24",-0.002331,12.2195,69.41259572273486,12.437999999999999,12.47772870725881,,69.41259572273486,,,12.944633780760487,11.494366219239513,0.927852084996818,0.4334096861445967,0.2684526615792678,269404891,-0.2331002331002252,0.053322395406070644
2024-07-08,12.97,13.2,12.92,12.98,12.21,44346200,44346200,0.01,0.077101,13.0175,"July 08, 24",0.00077101,12.264999999999999,72.204494537572,12.552,12.555001213834379,,72.204494537572,,,13.057931270666,11.472068729333998,0.9508587480724886,0.4419394071141907,0.27499175718074864,313751091,1.0903426791277315,0.06480721903199349
2024-07-09,12.96,13.07,12.88,12.9,12.14,40734880,40734880,-0.06,-0.46296,12.9525,"July 09, 24",-0.0046296,12.3025,68.36446884846833,12.619,12.608077950167552,,68.36446884846833,,,13.139826101348811,11.465173898651189,0.856790501954683,0.4392551137380859,0.2689209173821237,273016211,-0.6163328197226536,0.05824446267432326
2024-07-10,12.95,13.21,12.91,13.17,12.39,36305525,36305525,0.22,1.7,13.06,"July 10, 24",0.017,12.342,73.48900326696098,12.727,12.69452749629562,12.452430285322498,73.48900326696098,0.24209721097312276,,13.260794862850245,11.423205137149756,0.9505902424352997,0.43882022151809724,0.2718551375691149,309321736,2.0930232558139528,0.08039376538146015
2024-07-11,13.25,13.54,13.25,13.47,12.67,51443439,51443439,0.22,1.66,13.3775,"July 11, 24",0.0166,12.41,77.79332722918213,12.863,12.813830958403987,12.527805819743053,77.79332722918213,0.2860251386609338,,13.444117981663602,11.375882018336398,1.0125140548734881,0.47088646820021574,0.27886548488560664,360765175,2.277904328018221,0.10500410172272345
2024-07-12,13.53,14.21,13.53,14.03,13.2,85609700,85609700,0.5,3.7,13.825,"July 12, 24",0.037,12.507499999999999,83.25774886623657,13.043000000000001,13.000933887880297,12.639079462725048,83.25774886623657,0.3618544251552489,,13.746239278460159,11.268760721539838,1.1145360958815218,0.5442592506041037,0.3118036645366348,446374875,4.157386785449146,0.15094339622641506
2024-07-15,14.21,14.43,14.12,14.23,13.39,65643300,65643300,0.02,0.14075,14.2475,"July 15, 24",0.0014075,12.622,84.70528298008652,13.212,13.190020982052559,12.756925428449119,84.70528298008652,0.4330955536034402,,14.040105778847263,11.203894221152737,1.0669534755394259,0.6395040145420476,0.318103402784018,512018175,1.425516749821809,0.16735028712059052
2024-07-16,14.27,14.47,14.19,14.39,13.54,52040136,52040136,0.12,0.84093,14.33,"July 16, 24",0.0084093,12.756,85.7655842284346,13.375,13.374633138659858,12.877893915230665,85.7655842284346,0.4967392234291932,,14.30455287284613,11.20744712715387,1.0275893476587674,0.6984429307198554,0.3153817311565882,564058311,1.1243851018974071,0.18047579983593098
2024-07-17,14.29,14.63,14.28,14.48,13.62,58087100,58087100,0.19,1.33,14.42,"July 17, 24",0.0133,12.8875,86.33926349118994,13.536000000000001,13.544689578866034,12.996568440028394,86.33926349118994,0.5481211388376401,,14.548558397528517,11.226441602471482,0.9793630381597288,0.7268568491256685,0.31785446464540346,622145411,0.6254343293954134,0.18785890073831002
2024-07-18,14.51,14.85,14.45,14.55,13.69,58077004,58077004,0.04,0.27567,14.59,"July 18, 24",0.0027567,13.026000000000002,86.78535625432933,13.703999999999999,13.699352720578952,13.111637444470736,86.78535625432933,0.5877152761082165,,14.755120007402613,11.29687999259739,0.9406865901370454,0.736266196485979,0.3237220028850175,680222415,0.4834254143646355,0.19360131255127144
